Id,X1,y
0,Sanierung von zwei Kindergärten und zwei Doppelkindergärten; Rahmenkredit,5
1,Erweiterung der Freihandbibliothek an der Katharinengasse 11 und Umnutzung der Liegenschaft Rorschacher Strasse 31 für die Ludothek,3
2,Wahl einer nichtständigen Kommission zur Vorberatung der Ausgliederung der Sankt Galler Stadtwerke aus der Stadtverwaltung,10
3,St.Gallen – Felsenstrasse; Kappellenstrasse bis Berneggstrasse; Erneuerung der Wasserverteil- und der Wasser-Hauszuleitung sowie der Erdgasverteil- und der Erdgas-Hauszuleitung; Verpflichtungskredit,10
4,Schutzverordnung Goldachtobel,12
5,Aufbau eines geografischen Netzinformationssystems (GIS/NIS); Systembeschaffung und Erstdatenerfassung im Bereich Fernwärmeversorgung (Teilprojekt FERNIS),10
6,"Sanierung und Erneuerung technischer Einrichtungen in der Liegenschaft ""Adler"" St.Georgen",2
7,Neuorganisation und neue Schwerpunkte der Stabsstelle für Wirtschaftsförderung,6
8,Arbon - Neue Umfahrungsstrasse vom Stahelplatz bis St.Gallerstrasse; Umlegung der Erdgasmitteldruckleitung,10
9,Wohnhaus Falkensteinstrasse 11; Innensanierung,2
10,Bericht der ständigen parlamentarischen Kommissionen zu Vorstössen des Jahres 2014 gemäss Partizipationsreglement,0
11,"Überbauungsplan und Zonenplanänderung ""Fisba Optik""",16
12,Wohnhaus Grossackerstrasse 4; Innensanierung Hausteil Süd und Treppenhaus,2
13,"Sportanlage Espenmoos, Zuschauertribüne; Projektierungs- und Baukredit",8
14,Nachtrag VI zur Gemeindeordnung (sRS 111.1; abgekürzt GO); Wahl des Stadtpräsidiums und der übrigen Mitglieder des Stadtrats,6
15,"Beteiligung an der Stiftung ""Lokremise St.Gallen""",3
16,Zonenplanänderung Geissberg / Altenwegen; Erlass einer Zone für bestimmte Nutzungsarten gemäss Art. 28octies BauG mit maximal zulässigen Fahrtenzahlen,16
17,Sanierung und Umnutzung der ehemaligen Käsehalle an der Magnihalden 13; Zusatzkredit,2
18,Anschaffung eines Geräteträgers für das Tiefbauamt,16
19,Inventar der schützenswerten Bauten ausserhalb der Altstadt; weiteres Vorgehen,16
20,"Freibad Rotmonten; Sanierung der Wasseraufbereitung und der Beckenbereiche, Zusatzprojektierung für einen Umbau auf biologische Wasseraufbereitung",8
21,"Sportanlage Espenmoos, Zuschauertribüne; Projektierungs- und Baukredit",8
22,Bericht der ständigen parlamentarischen Kommissionen zu Vorstössen des Jahres 2010 gemäss Partizipationsreglement,0
23,Jährliche Unterstützung von Villa YoYo,7
24,"Flottenerneuerung und Umstellung der Linien 3, 4 und 6 auf Batterietrolleybusbetrieb - Investitionskredit",14
25,Gewährung eines Baubeitrages an den Verein Altersheim Rotmonten für die Erweiterung des Altersheims,7
26,"Neugestaltung Marktplatz und Bohl, Projekt «Vadian»; Verpflichtungskredit",16
27,"Primarschule Engelwies, Schulhaus Bruggen, Umnutzung für die Betreuung; Verpflichtungskredit",5
28,"Rahmenkredite für Kanal-, Werkleitungs- und Strassensanierungen für die Legislatur¬periode 2009 - 2012",2
29,Geschäftsbericht des Stadtrates über das Amtsjahr 2000 und Legislaturziele 2000-2004,9
30,Wiederkehrender Beitrag an Pro Infirmis St.Gallen-Appenzell,7
31,Aufwertungs- und Sicherheitsmassnahmen am Knabenweiher,16
32,"Guisansanstrasse, Strassenraumgestaltung und Instandstellung von der Tannenstrasse bis zur Sonnehaldenstrasse",16
33,Weiterführung der Sozialberatung für städtische Lehrkräfte der Realschule,5
34,"St.Gallen – Buchstrasse; Erneuerung der Wasserverteilleitung, der Wasser-Hauszuleitung, der Erdgas-Mitteldruckleitung und der Erdgas-Niederdruckleitung, in der Buchstrasse, Abschnitt Kronbergstrasse bis Haus Nr. 35; Verpflichtungskredit",10
35,Historische Klostermauern: Durchblickendes St.Gallen; Postulatsbericht,16
36,Nachtrag I zum Reglement über die Finanzkontrolle vom 15. Mai 1973,2
37,"Sanierung der Liegenschaft ""Schlössli-Haggen""",2
38,Verstärkte Zusammenarbeit zwischen den Agglomerationsgemeinden und der Stadt St.Gallen,6
39,St.Georgen-Strasse 82/84; Sanierung der Tiefgarage und der Radballhalle,2
40,"Milizfeuerwehr, Standort Haggenstrasse 25, Sanierung und Erweiterung",15
41,Geschäftsbericht 2018 der Verkehrsbetriebe St.Gallen (VBSG),14
42,Sanierung der Wohnsiedlung „Haggenhalden“,2
43,Abschreibung des Buchwertes der Liegenschaften St.Jakob-Strasse Nr. 28 - 32a,2
44,Voranschlag 2004,2
45,Änderung des Taxireglementes (Aufhebung des Taxitarifes),13
46,"St.Gallen – Zürcher Strasse; Erneuerung der Wassertransport- und der Wasserverteilleitung in der Zürcher Strasse, Abschnitt Haus Nr. 162 - Rechenstrasse; Verpflichtungskredit",10
47,Gestaltungsplan Bernhardswies II,16
48,Erschliessungsprojekte für die Wohnüberbauung Birnbäumen,16
49,Initiative gegen längere Ladenöffnungszeiten («Kein Sonntagsverkauf in der Stadt St.Gallen»); Bericht und Antrag des Stadtrates,0
50,VBSG-Linie 12 „Diagonallinie“; Umwandlung des Versuchsbetriebs in einen regulären Betrieb und Durchbindung mit der Linie 10,13
51,"Marktgasse, Neugestaltung von der Spitalgasse bis Hinterlauben",16
52,"Sanierung der ""alten Steinachhalle"" im Athletik Zentrum St.Gallen",8
53,Kreuzbleiche Veranstaltungsplatz; Neubau eines Schotterrasens,16
54,Neubau Transformatorenstation TS Neurüdlen mit Einbindung in die Leitungsnetze,10
55,Umnutzung der Liegenschaft Kirchlistrasse 2 für die Betreuungsangebote im Gebiet Rotmonten / Gerhalden,5
56,Provisorium für den Mittagstisch Schulhaus Feldli am Gerbeweg,5
57,"Überbauungsplan und Zonenplanänderung ""Maestrani""",16
58,Oberstufe; Neuausrichtung des Mittagstischangebots,5
59,"Oberstockenweg, Neubau velogängige Passerelle; Verpflichtungskredit",16
60,"Überbauungsplan ""Gaiserwaldstrasse, Parzelle W3254"" für die Projekte OBI-Markt / M-Parc",16
61,Bahnhofplatz; Aufwertung und Neugestaltung; 2. Bericht,16
62,"Verkauf einer Teilfläche des Grundstückes W2082, Breitfeldstrasse, an die Firma Krämer AG St. Gallen",2
63,Nutzungsmöglichkeiten unter dem Waaghaus,4
64,"St.Gallen – Steinachstrasse / Singenbergstrasse; Erneuerung der Erdgasmitteldruck-, der Erdgasniederdruck-, der Wasserverteil- und der Wasserhauszuleitung in der Steinachstrasse / Singenbergstrasse, Abschnitt Rorschacher Strasse bis Frohbergstrasse; Verpflichtungskredit",10
65,Beitritt der Stadt St.Gallen zum Verbund thermischer Verwertungsanlagen Ostschweiz; Verpflichtungskredit und Nachtragskredit,1
66,"Zilstrasse, Busspur Brauerstrasse bis Rorschacher Strasse; Verpflichtungskredit",16
67,"Werkhof Waldau, Sömmerliwaldstrasse 7; Betriebliche Verbesserungen; Zusatzkredit",4
68,Finanzpolitik; Bildung eines Fonds zur Stützung der Konsumnachfrage,2
69,Sanierung und Renovation des Stadtpark - Pavillons mit Treppenanlage,16
70,"Friedhof Feldli, Aufbahrungsräume und Abschiedsraum; Baukredit",15
71,Umweltkonzept der Stadt St.Gallen,12
72,Die Abgeltung der Zentrumslasten,2
73,"Guisansanstrasse, Strassenraumgestaltung und Instandstellung von der Tannenstrasse bis zur Sonnehaldenstrasse",16
74,"Guisanstrasse, Strassenraumgestaltung und Instandstellung von der Tannenstrasse bis zur Sonnenhaldenstrasse; neue Beschlussfassung zum überarbeiteten Projekt",16
75,Baubeitrag an den Verein Altersheime Sömmerli St. Gallen für den Umbau der Häuser Sömmerli und Johannes Kessler,7
76,Kreuzbleiche; Neubau eines Rollerparks für Skater,8
77,Finanzielle Sanierung der AFG Arena St.Gallen; städtischer Beitrag,8
78,Familienergänzende Betreuung für Kinder im Vorschulalter; neues Subventionierungssystem für Kinderkrippen,7
79,Wahl des Stellvertreters des Stadtpräsidenten,9
80,Erschliessungsprojekte für die Wohnüberbauung Birnbäumen,16
81,Sanierung Reservoir Scheitlinsbüchel,10
82,Kehrichtheizkraftwerk (KHK); Logistikbauten und Elektroinfrastruktur,1
83,"St.Gallen – Hardungstrasse / Hagenbuchstrasse / Huebstrasse; Erneuerung der Wassertransportleitung und der Wasser-Hauszuleitungen in der Hardungstrasse, der Hagenbuchstrasse und der Huebstrasse, Abschnitt ganzer Ring der Hardungstrasse und von der Hardungstrasse bis zur Speicherstrasse; Verpflichtungskredit",10
84,Bereitstellung eines Kindergartens im Quartier Lachen-Vonwil,5
85,Wiederwahl des Stadtschreibers und der Stellvertretung,11
86,VBSG; Verlängerung der Betriebszeiten in der Nacht,14
87,"Zonenplanänderungen Stationsweg Bruggen, Ruckhalden, Girtannersberg, Bruggwiesen/Flurhofstrasse, Rorschacher Strasse 258 und Fuchsenstrasse",16
88,"Gestaltungsplan ""Kirchlistrasse, Parzelle F3370""",16
89,Spitex; Erhöhung der Subventionssumme,7
90,Wiederkehrender Beitrag an die ARGE Integration Ostschweiz,0
91,Erlass eines Energiereglements,12
92,Totalrevision des Polizeireglements (Fortsetzung der Beratung),15
93,"Volksinitiative ""Üs schtinkts!""",1
94,Bericht der ständigen parlamentarischen Kommissionen zu Vorstössen des Jahres 2011 gemäss Partizipationsreglement,0
95,Aufwertung der Poststrasse,16
96,Kanalerschliessung und Kanalumlegung Heimstrasse; Abschnitt Heimstrasse bis Auwaldweg und Ausbau Hochwasserentlastung,1
97,Geschäftsbericht 2013,9
98,Beratungsstelle für Familien; Dienstleistungen im Auftrag der Stadt St.Gallen und Erhöhung des jährlichen Subventionsbeitrages für Begleitete Besuchstage (BBT),7
99,"Primarschule Schönenwegen, Sanierung Mehrzweckhalle; Verpflichtungskredit",5
100,Bau einer neuen Transformatorenstation an der Curtistrasse samt Eingliederung in die Leitungsnetze,10
101,Schaffung einer Spitex-Einheitsorganisation für die Stadt St.Gallen: Finanzierung des Umsetzungsprojekts,7
102,"Sportanlage Neudorf, Sanierung und Erweiterung Leichtathletikanlage; Verpflichtungskredit",8
103,Schulanlage Heimat-Buchwald; Bereitstellung von zusätzlichem Schulraum als Sofortmassnahme,4
